_id,singkat,hasil
4204,menganguk,mengangguk
4205,menganti,mengganti
4206,mengantung,menggantung
4207,mengasikan,mengasyikkan
4208,mengasyikan,mengasyikkan
4209,mengatakn,mengatakan
4210,mengelar,menggelar
4211,mengeliat,menggeliat
4212,mengelinding,menggelinding
4213,mengelitik,menggelitik
4214,mengembirakan,menggembirakan
4215,mengen2in,membuat kepingin
4216,mengeringkanya,mengeringkannya
4217,menggunakn,menggunakan
4218,menggunkan,menggunakan
4219,menggunkn,menggunakan
4220,mengirimkn,mengirimkan
4221,mengktfka,mengaktifkan
4222,mengoda,menggoda
4223,mengugah,menggugah
4224,mengunakan,menggunakan
4225,mengunakn,menggunakan
4226,menguncang,mengguncang
4227,mengunkan,menggunakan
4228,mengunkn,menggunakan
4229,menheningkan,mengheningkan
4230,menhub,menteri perhubungan
4231,meningal,meninggal
4232,meningalkan,meninggalkan
4233,meningalnya,meninggalnya
4234,menungang,menunggang
4235,menungu,menunggu
4236,menungumu,menunggumu
4237,menunjukan,menunjukkan
4238,menyengol,menyenggol
4239,merayakanya,merayakannya
4240,merit,menikah
4241,mesinya,mesinnya
4242,mesjid,masjid
4243,met,selamat
4244,mewah2,mewah-mewah
4245,meweg,mau nangis
4246,mewek,mau nangis
4247,mgalami,mengalami
4248,mggelar,menggelar
4249,mggu,minggu
4250,mghntarkan,menghantarkan
4251,mgkin,mungkin
4252,mgkn,mungkin
4253,mgkt,berangkat
4254,mgok,mogok
4255,mhn,mohon
4256,mhon,mohon
4257,mhsiswamu,mahasiswamu
4258,mi apah,demi apa
4259,miapa,demi apa
4260,miapah,demi apa
4261,miapeh,demi apa
4262,mikir,berfikir
4263,mikir2,berfikir-fikir
4264,mikiran,suka berfikir
4265,mikiri,memikirkan
4266,mikirin,memikirkan
4267,mikirkeun,memikirkan
4268,mikirny,berfikirnya
4269,mikirnya,berfikirnya
4270,milikny,miliknya
4271,miliku,milikku
4272,mingir,minggir
4273,mingu,minggu
4274,mingu2,minggu-minggu
4275,minguan,mingguan
4276,mingunya,minggunya
4277,mingux,minggunya
4278,mint,minta
4279,mintain,mintakan
4280,misalny,misalnya
4281,mjd,menjadi
4282,mka,maka
4283,mkan,makan
4284,mkanya,makanya
4285,mkasih,terimakasih
4286,mkmur,makmur
4287,mkn,makan
4288,mknan,makanan
4289,mknya,makanya
4290,mks,terimakasih
4291,mksd,maksud
4292,mksdnya,maksudnya
4293,mksh,terimakasih
4294,mksi,terimakasih
4295,mksih,terimakasih
4296,mksimal,maksimal
4297,mksod,maksud
4298,mksud,maksud
4299,mksudny,maksudnya
4300,mksudnya,maksudnya
4301,mlah,malah
4302,mlai,mulai
4303,mlaku,jalan
4304,mlaku2,jalan-jalan
4305,mlakukan,melakukan
4306,mlakune,jalannya
4307,mlam,malam
4308,mlaz,malas
4309,mlebu,masuk
4310,mledug,meledak
4311,mleduk,meledak
4312,mlem,malam
4313,mlepas,melepas
4314,mles,malas
4315,mlggr,melanggar
4316,mlgr,melanggar]
4317,mlh,malah
4318,mlihat,melihat
4319,mlintas,melintas
4320,mlkukan,melakukan
4321,mlm,malam
4322,mlm2,malam-malam
4323,mlmnya,malamnya
4324,mls,malas
4325,mlulu,melulu
4326,mmbahana,membahana
4327,mmbawaku,membawaku
4328,mmbedakan,membedakan
4329,mmbeli,membeli
4330,mmbhyakn,membahayakan
4331,mmbrikan,memberikan
4332,mmbuat,membuat
4333,mmbutuhkan,membutuhkan
4334,mmg,memang
4335,mmiliki,memiliki
4336,mmperkuat,memperkuat
4337,mmperpanjang,memperpanjang
4338,mmpi,mimpi
4339,mmpr,mampir
4340,mmprlihatkn,memperlihatkan
4341,mmprsiapkn,mempersiapkan
4342,mmpu,mampu
4343,mmpus,mampus
4344,mn,mana
4345,mna,mana
4346,mnang,menang
4347,mnangkan,menangkan
4348,mnara,menara
4349,mnarik,menarik
4350,mncapai,mencapai
4351,mncari,mencari
4352,mncri,mencari
4353,mndadak,mendadak
4354,mndapatkn,mendapatkan
4355,mndat,mandat
4356,mnding,mending
4357,mndingan,mendingan
4358,mndok,mondok
4359,mndonkrak,mendongkrak
4360,mndptkan,mendapatkan
4361,mndukung,mendukung
4362,mndukungnya,mendukungnya
4363,mndung,mendung
4364,mne,mana
4365,mnfaat,manfaat
4366,mngalami,mengalami
4367,mngalir,mengalir
4368,mngeluarkan,mengeluarkan
4369,mngenang,mengenang
4370,mngendarai,mengendarai
4371,mngerti,mengerti
4372,mnggl,manggil
4373,mnggu,minggu
4374,mngguan,mingguan
4375,mnggunakan,menggunakan
4376,mnggunkn,menggunakan
4377,mnghadap,menghadap
4378,mnghamili,menghamili
4379,mngharap,mengharap
4380,mngheningkan,mengheningkan
4381,mngis,manggis
4382,mngkel,kesal
4383,mngkin,mungkin
4384,mngkn,mungkin
4385,mngkne,makanya
4386,mngkonyo,makanya
4387,mngnai,mengenai
4388,mngsudnye,maksudnya
4389,mngu,minggu
4390,mnguan,mingguan
4391,mngunakan,menggunakan
4392,mngunkn,menggunakan
4393,mnikah,menikah
4394,mnikmti,menikmati
4395,mnis,manis
4396,mnitikberatkan,menitikberatkan
4397,mnjadi,menjadi
4398,mnjd,menjadi
4399,mnjdi,menjadi
4400,mnjem,meminjam
4401,mnjunjung,menjunjung
4402,mnjwab,menjawab
4403,mnnti,menanti
4404,mnrt,menurut
4405,mnt,minta
4406,mnta,minta
4407,mntain,mintakan
4408,mntannya,mantannya
4409,mntanya,mantannya
4410,mntap,mantap
4411,mnti,menanti
4412,mnual,manual
4413,mnuggu,menunggu
4414,mnugu,menunggu
4415,mnuju,menuju
4416,mnum,minum
4417,mnungGu,menunggu
4418,mnungu,menunggu
4419,mnunjukan,menunjukkan
4420,mnunjukkan,menunjukkan
4421,mnurut,menurut
4422,mnurutmu,menurutmu
4423,mnusia,manusia
4424,mnyamar,menyamar
4425,mnyusul,menyusul
4426,mo,mau
4427,modifan,hasil modifikasi
4428,modification,modifikasi
4429,modified,dimodifikasi
4430,modifikasiin,modifikasikan
4431,modifikasin,modifikasikan
4432,moh,tidak mau
4433,momendnya,momennya
4434,moment,momen
4435,moments,momen
4436,momenya,momennya
4437,monasny,monasnya
4438,monday,senin
4439,Mondays,senin
4440,money,uang
4441,monkey,monyet
4442,month,bulan
4443,monyetna,monyetnya
4444,morning,pagi
4445,mornings,pagi
4446,moro,datang
4447,moro2,datang-datang
4448,morosotkeun,memerosotkan
4449,mother,ibu
4450,motoin,mengambil foto
4451,motone,cara mengambil fotonya
4452,motor2,motor-motor
4453,motr,motor
4454,mpe,sampai
4455,mpek,sampai
4456,mpempek,pempek
4457,mperkuat,memperkuat
4458,mperpanjang,memperpanjang
4459,mpun,sudah
4460,mpunya,punya
4461,mrah,marah
4462,mrah2,marah-marah
4463,mrantau,merantau
4464,mrasa,merasa
4465,mrasakany,merasakannya
4466,mrek,mereka
4467,mreka,mereka
4468,mrh,marah
4469,mrhn,marahan
4470,mri,mari
4471,mridnya,muridnya
4472,mriki,kesini
4473,mrinding,merinding
4474,mrip,mirip
4475,mrk,mereka
4476,mrka,mereka
4477,mrono,kesana
4478,mrp,merupakan
4479,mrpti,merpati
4480,mrupakn,merupakan
4481,msak,masak
4482,msalah,masalah
4483,msg,masing
4484,msg2,masing-masing
4485,msh,masih
4486,msih,masih
4487,msing2,masing-masing
4488,msjid,masjid
4489,mski,meski
4490,mskipun,meskipun
4491,mslah,masalah
4492,mslahnya,masalahnya
4493,mslh,masalah
4494,mslhnye,masalahnya
4495,msng,masing
4496,msog,masak
4497,msohan,musuhan
4498,msok,masak
4499,mst,mesti
4500,msti,mesti
4501,msuk,masuk
4502,msukin,masukkan
4503,msuknya,masuknya
4504,mtor,motor
4505,mtor2,motor-motor
4506,mtore,motornya
4507,mtornya,motornya
4508,mtr,motor
4509,mudah2an,mudah-mudahan
4510,mugi,semoga
4511,mugi2,moga-moga
4512,mukax,mukanya
4513,mulay,mulai
4514,muluk2,berlebihan
4515,mumpng,mumpung
4516,mungah,naik
4517,music,musik
4518,musim2,musim-musim
4519,musium,museum
4520,mustinya,mestinya
4521,muter,berputar
4522,muter2,berputar-putar
4523,mw,mau
4524,mwah,mewah
4525,myname,namaku
4526,mz,mas
4527,nabrak,menabrak
4528,naek,naik
4529,nais,nice
4530,naitu,nah itu
4531,nama2,nama-nama
4532,namany,namanya
4533,namanye,namanya
4534,nambah,bertambah
4535,nambah2,nambah-nambah
4536,name,nama
4537,named,dinamai
4538,names,nama
4539,nanganin,menangani
4540,nanges,nangis
4541,nanya,bertanya
4542,nanyain,menanyakan
4543,naon,apa
4544,napa,kenapa
4545,napah,kenapa
4546,nape,kenapa
4547,narcis,narsis
4548,nari,menari
4549,naro,naruh
4550,nasgor,nasi goreng
4551,nasgornya,nasi gorengnya
4552,navigation,navigasi
4553,ndadak,mendadak
4554,ndak,tidak
4555,ndakpapa,tidak apa-apa
4556,ndang,buruan
4557,ndek,sejak
4558,ndelik,bersembunyi
4559,ndelok,melihat
4560,ndengkur,mendengkur
4561,ndi,mana
4562,ndk,tidak
4563,ndodok,jongkok
4564,nduwe,punya
4565,nebelin,menebalkan
4566,need,butuh
4567,needed,dibutuhkan
4568,needs,kebutuhan
4569,negative,negatif
4570,negra,negara
4571,negri,negeri
4572,neh,nih
4573,nelepon,menelpon
4574,nelfon,menelpon
4575,nelor,bertelur
4576,nelp,menelpon
4577,nelpon,menelpon
4578,nelv,menelpon
4579,nelvon,menelpon
4580,nemanin,menemani
4581,nembak,menembak
4582,nembaknya,menembaknya
4583,nembaknye,menembaknya
4584,nembus,menembus
4585,nemen,banget
4586,nemenin,menemani
4587,nemu,menemukan
4588,nemuin,menemui
4589,nemuinnya,menemuinya
4590,nemuinya,menemuinya
4591,nemunya,menemukannya
4592,nenangin,menenangkan
4593,nendang,menendang
4594,nenek2,nenek-nenek
4595,nengheningkan,mengheningkan
4596,nengkene,disini
4597,nengkono,disana
4598,nengok,menengok
4599,nengokin,menengoki
4600,nenteng,membawa
4601,nenteng2,membawa
4602,nepatin,menepati
4603,nerusin,meneruskan
4604,netter,pengguna internet
4605,network,jaringan
4606,never,tidak pernah
4607,nevermind,tidak usah dipikirkan
4608,news,berita
4609,ngabadiin,mengabadikan
4610,ngabadin,mengabadikan
4611,ngabarin,mengabari
4612,ngabisin,menghabiskan
4613,ngabohong,berbohong
4614,ngabolang,berpetualang
4615,ngaca,berkaca
4616,ngacir,kabur
4617,ngadain,mengadakan
4618,ngadem,berteduh
4619,ngademin,meneduhkan
4620,ngadep,menghadap
4621,ngadirin,menghadiri
4622,ngadu,mengadu
4623,ngagetin,mengagetkan
4624,ngajak2,ngajak-ngajak
4625,ngajakgue,mengajak saya
4626,ngajakinya,mengajaknya
4627,ngajari,mengajari
4628,ngajarin,mengajari
4629,ngak,tidak
4630,ngakak,tertawa
4631,ngakuin,mengakui
4632,ngalah,mengalah
4633,ngalahin,mengalahkan
4634,ngalihin,mengalihkan
4635,ngalir,mengalir
4636,ngambang,mengambang
4637,ngambil,mengambil
4638,ngambilin,mengambilkan
4639,ngambilnya,mengambilnya
4640,ngampus,pergi ke kampus
4641,ngamuk2,mengamuk-ngamuk
4642,ngancani,menemani
4643,ngancurin,menghancurkan
4644,ngandeng,menggandeng
4645,ngangap,menganggap
4646,ngangenin,membuat kangen
4647,ngangge,menggunakan
4648,nganggo,menggunakan
4649,ngangguk,mengangguk
4650,ngangur,menganggur
4651,nganjel,mengganjal
4652,nganter,mengantar
4653,nganterin,mengantarkan
4654,nganti,sampai
4655,ngantongi,mengantongi
4656,ngantongin,mengantongi
4657,ngantor,pergi ke kantor
4658,ngantre,mengantri
4659,ngantri,mengantri
4660,ngantrinya,mengantrinya
4661,ngantuks,mengantuk
4662,ngapa2in,ngapa-ngapain
4663,ngapal,menghafal
4664,ngapalin,menghafalkan
4665,ngape,ngapain
4666,ngapo,ngapain
4667,ngapusi,berbohong
4668,ngara,negara
4669,ngarah,mengarah
4670,ngarang,mengarang
4671,ngaranye,negaranya
4672,ngarap,mengerjakan
4673,ngarep,berharap
4674,ngarepane,harapannya
4675,ngarepin,mengharapkan
4676,ngaret,telat
4677,ngarti,mengerti
4678,ngaruh,berpengaruh
4679,ngash,memberi
4680,ngasi,memberi
4681,ngasih,memberi
4682,ngasih2,memberi
4683,ngasihnya,memberinya
4684,ngaso,istirahat
4685,ngasuh,mengasuh
4686,ngatain,mengatakan
4687,ngatasi,mengatasi
4688,ngatasin,mengatasi
4689,ngatur,mengatur
4690,ngawasin,mengawasi
4691,ngawe,membuat
4692,ngawur,ngasal
4693,ngawur2an,ngasal-asalan
4694,ngayal,mengkhayal
4695,ngayalnye,mengkhayalnya
4696,ngbikin,membuat
4697,ngbom,mengebom
4698,ngbrol,mengobrol
4699,ngbuka,membuka
4700,ngdate,berkencan
4701,ngebalikin,mengembalikan
4702,ngebalikinnya,mengembalikannya
4703,ngebalikinya,mengembalikannya
4704,ngeband,main band
4705,ngebangain,membanggakan
4706,ngebanggain,membanggakan
4707,ngebangun,membangun
4708,ngebantai,membantai
4709,ngebanyol,membanyol
4710,ngebawa,membawa
4711,ngebayangin,membayangkan
4712,ngebayanginnya,membayangkannya
4713,ngebayanginya,membayangkannya
4714,ngebel,menelpon
4715,ngebelin,membelikan
4716,ngebilangin,memberitau
4717,ngeblokir,memblokir
4718,ngebo,tidur
4719,Ngebolang,berpetualang
4720,ngebolehin,membolehkan
4721,ngebom,mengebom
4722,ngebor,mengebor
4723,ngebosenin,membosankan
4724,ngebunuh,membunuh
4725,ngebut,mengebut
4726,ngebut2,kebut-kebutan
4727,ngebutz,mengebut
4728,ngebutzzz,mengebut
4729,ngecapin,mengecapi
4730,ngece,mengejek
4731,ngecek,mengecek
4732,ngeces,mengecas
4733,ngecet,mengecat
4734,ngeclub,membuat klub
4735,ngedadak,mendadak
4736,ngedarin,mengedarkan
4737,ngedate,berkencan
4738,ngedeke,membangun
4739,ngedekke,membangun
4740,ngedengkur,mendengkur
4741,ngedit,mengedit
4742,ngedit2,mengedit-edit
4743,ngedoain,mendoakan
4744,ngedor,menembak
4745,ngedp,membayar uang muka
4746,ngedufan,pergi ke dufan
4747,ngedukung,mendukung
4748,ngefolow,ngefollow
4749,ngegolin,mencetak gol
4750,ngehalau,menghalau
4751,ngehargai,menghargai
4752,ngehibur,menghibur
4753,ngehina,menghina
4754,ngehormatin,menghormati
4755,ngejagain,menjagakan
4756,ngejak,mengajak
4757,ngejalanin,menjalani
4758,ngejamin,menjamin
4759,ngejanjin,menjanjikan
4760,ngejar,mengejar
4761,ngejarnya,mengejarnya
4762,ngejek,mengejek
4763,ngejiplak,menjiplak
4764,Ngejual,menjual
4765,ngejubel,berjubel
4766,ngekek,tertawa
4767,ngeksis2an,eksis-eksisan
4768,ngeladenin,meladeni
4769,ngeladeninya,meladeninya
4770,ngelahirin,melahirkan
4771,ngelak,mengelak
4772,ngelaksonin,menglakson
4773,ngelamar,melamar
4774,ngelamun,melamun
4775,ngelanconk,melancong
4776,ngelantik,melantik
4777,ngelantur,melantur
4778,ngelap,mengelap
4779,ngelapak,berjualan
4780,ngelatihnya,melatihnya
4781,ngelawak,melucu
4782,ngeledek,mengejek
4783,ngelelepin,menenggelamkan
4784,ngelepas,melepas
4785,ngeles,membuat alasan
4786,ngelesnya,membuat alasannya
4787,ngelewatin,melewati
4788,ngeliat,melihat
4789,ngeliate,melihat
4790,ngeliatin,memperlihatkan
4791,ngeliatnya,melihatnya
4792,ngelilingin,mengelilingi
4793,ngeliput,meliput
4794,ngelirik,melirik
4795,ngelitik,menggelitik
4796,ngelive,disiarkan langsung
4797,ngelu,pusing
4798,ngeluapin,meluapkan
4799,ngeluarin,mengeluarkan
4800,ngeluarinya,mengeluarkannya
4801,ngelucu,melucu
4802,ngeluh,mengeluh
4803,ngelukis,melukis
4804,ngelupain,melupakan
4805,ngelus,mengelus
4806,ngembalin,mengembalikan
4807,ngembang,mengembang
4808,ngembun,mengembun
4809,ngemeng,ngomong
4810,ngemeng2,ngomong-ngomong
4811,ngemis2,mengemis-ngemis
4812,ngemodus,membuat modus
4813,ngemot,mengemut
4814,ngena,mengena
4815,ngenalin,mengenalkan
4816,ngendap,mengendap
4817,ngene,begini
4818,ngeneh,begini
4819,ngenes,mengenaskan
4820,ngenet,internetan
4821,ngepain,ngapain
4822,ngepel,mengepel
4823,ngepelin,mengepelkan
4824,ngerakit,merakit
4825,ngeramal,meramal
4826,ngeramein,meramaikan
4827,ngerampok,merampok
4828,ngerasa,merasa
4829,ngerasain,merasakan
4830,ngerayain,merayakan
4831,ngerayainnya,merayakannya
4832,ngerayainya,merayakannya
4833,ngerayu,merayu
4834,ngeremehin,meremehkan
4835,ngerencanain,merencanakan
4836,ngerepotin,merepotkan
4837,ngeres2,berpikiran kotor
4838,ngeributin,meributkan
4839,ngerintis,merintis
4840,Ngeriset,melakukan riset
4841,ngerix,ngerinya
4842,ngerjain,mengerjakan
4843,ngerokok,merokok
4844,ngertine,yang dimengerti
4845,ngertio,ngertikan
4846,ngerubah,mengubah
4847,ngerugiin,merugikan
4848,ngerugin,merugikan
4849,ngerusak,merusak
4850,ngerusakin,merusakkan
4851,ngetem,nongkrong
4852,ngetuit,ngetweet
4853,ngetwet,ngetweet
4854,ngetwets,ngetweet
4855,ngetwit,ngetweet
4856,ngetwitnya,ngetweetnya
4857,ngfollow,follow
4858,ngfolow,follow
4859,ngg,tidak
4860,ngga,tidak
4861,nggak,tidak
4862,nggakk,tidak
4863,nggakpapa,tidak apa-apa
4864,nggakyk,tidak seperti
4865,nggandeng,menggandeng
4866,ngganjel,mengganjal
4867,ngganteng,ganteng
4868,nggarap,mengerjakan
4869,nggash,memberi
4870,nggawa,membawa
4871,nggawe,membuat
4872,nggih,iya
4873,nggk,tidak
4874,nggo,untuk
4875,nggon,tempat
4876,nggonku,tempatku
4877,nggowes,bersepeda
4878,nggowo,membawa
4879,nggowo2,membawa
4880,nggu,nunggu
4881,nggundulinnya,menggundulinya
4882,ngguyu,tertawa
4883,nggy,gaya
4884,nghirup,menghirup
4885,ngibul,berkhayal
4886,ngidem,ngikut
4887,ngiderin,mengedarkan
4888,ngigau,mengigau
4889,ngih,iya
4890,ngijinin,mengizinkan
4891,ngikutin,mengikuti
4892,ngilang,menghilang
4893,ngilangin,menghilangkan
4894,ngimpi,mimpi
4895,ngimpih,mimpi
4896,ngimpiku,mimpiku
4897,ngincer,mengincar
4898,ngindarin,menghindari
4899,nginep,menginap
4900,nginepnya,menginapnya
4901,ngingetin,mengingatkan
4902,nginjek,menginjak
4903,ngintil,mengikuti
4904,ngintip,mengintip
4905,ngira,mengira
4906,ngiranya,mengiranya
4907,ngirim,mengirim
4908,ngiris,mengiris
4909,ngirup,menghirup
4910,ngis,nangis
4911,ngisi,mengisi
4912,ngiterin,mengitari
4913,ngitung,menghitung
4914,ngitungin,menghitung
4915,ngjak,mengajak
4916,ngjak2,mengajak-ajak
4917,ngjakin,mengajak
4918,ngjakn,mengajak
4919,ngjar,mengajar
4920,ngjarin,mengajari
4921,ngjk,mengajak
4922,ngjkin,mengajak
4923,ngk,tidak
4924,ngke,nanti
4925,ngko,nanti
4926,ngkost,kos
4927,ngkrong,nongkrong
4928,ngku,mengaku
4929,ngkut,ngikut
4930,nglakokne,menjalankan
4931,nglamar,melamar
4932,nglelang,melelang
4933,nglewatin,melewati
4934,ngliat,melihat
4935,ngliatin,melihat
4936,nglumpuke,mengumpulkan
4937,ngmg,ngomong
4938,ngmgn,ngomongin
4939,ngmng,ngomong
4940,ngmngin,ngomongin
4941,ngmngnya,ngomongnya
4942,ngmong,ngomong
4943,ngmongin,ngomongin
4944,ngmpln,mengumpulkan
4945,ngmpul,kumpul
4946,ngmpulin,mengumpulkan
4947,ngmuk,mengamuk
4948,ngnggur,menganggur
4949,ngngkat,mengangkat
4950,ngntuk,mengantuk
4951,ngo,untuk
4952,ngobro,ngobrol
4953,ngoceh,mengoceh
4954,ngocok,mengocok
4955,ngocol,mengocol
4956,ngolek,mencari
4957,ngoleksi,mengoleksi
4958,ngomel,mengomel
4959,ngomgn,ngomongin
4960,ngomogin,ngomongin
4961,ngomong2,ngomong-ngomong
4962,ngomonge,ngomongnya
4963,ngomongin,ngomongin
4964,ngonku,tempatku
4965,ngonoh,begitu
4966,ngonthel,bersepeda
4967,ngontrak,mengontrak
4968,ngopikeun,ngopikan
4969,ngopo,ngapain
4970,ngosek,nanti
4971,ngowes,bersepeda
4972,ngowo,membawa
4973,ngowo2,membawa
4974,ngp,ngapain
4975,ngpain,ngapain
4976,ngpn,ngapain
4977,ngpo,ngapain
4978,ngra,mengira
4979,ngrakit,merakit
4980,ngrasake,merasakan
4981,ngrasakno,merasakan
4982,ngrayain,merayakan
4983,ngrebut,merebut
4984,ngrokok,merokok
4985,ngrsain,merasakan
4986,ngrti,mengerti
4987,ngrusak,merusak
4988,ngsh,ngasih
4989,ngsih,ngasih
4990,ngubah,mengubah
4991,ngubengi,mengitari
4992,ngucapin,mengucapkan
4993,nguidam,ngidam
4994,ngulang,mengulang
4995,nguliah,kuliah
4996,ngumbar,mengumbar
4997,ngumpet,bersembunyi
4998,ngunu,begitu
4999,ngupi,ngopi
5000,ngupi2,ngopi-ngopi
5001,ngurangin,mengurangi
5002,nguras,menguras
5003,ngurusin,mengurusi
5004,ngurusinya,mengurusinya
5005,ngurusinyo,mengurusinya
5006,ngusul,usul
5007,ngusulin,mengusulkan
5008,ngutang,hutang
5009,ngutangi,menghutangi
5010,nguyu,tertawa
5011,nguyuh,kencing
5012,nie,ini
5013,night,malam
5014,nipuin,menipu
5015,nisan,nissan
5016,njih,iya
5017,njupuk,mengambil
5018,nlp,menelpon
5019,nlpn,menelpon
5020,nma,nama
5021,nmanya,namanya
5022,nmax,namanya
5023,nmna,namanya
5024,nmnya,namanya
5025,nmor,nomor
5026,nmpak,tampak
5027,nmpk,tampak
5028,nmr,nomor
5029,nmrnya,nomornya
5030,nmun,namun
5031,nnggu,menunggu
5032,nngguin,tungguin
5033,nngis,nenagis
5034,nnt,nanti
5035,nnton,nonton
5036,nntonnya,nontonnya
5037,no,tidak
5038,nolak,menolak
5039,nolong,menolong
5040,nolongin,menolong
5041,nomer,nomor
5042,nomere,nomornya
5043,nontonya,nontonnya
5044,nope,nomor HP
5045,nothing,tidak ada
5046,notif,pemberitahuan
5047,notifnya,pemberitahuannya
5048,nov,november
5049,now,sekarang
5050,npa,kenapa
5051,ntar,nanti
5052,nti,nanti
5053,ntinya,nantinya
5054,ntip,nitip
5055,ntn,nonton
5056,nton,nonton
5057,ntr,nanti
5058,number,nomor
5059,numpak,naik
5060,nungu,nunggu
5061,nyampe,sampai
5062,nyelengi,menabung
5063,nyelesein,menyelesaikan
5064,nyembuhin,menyembuhkan
5065,nyempetin,menyempatkan
5066,nyenengin,menyenangkan
5067,nyengol,menyenggol
5068,nyepedah,bersepeda
5069,nyesek,bikin sesak
5070,nyesel,menyesal
5071,nynyi,menyanyi
5072,nyokap,ibu
5073,nyolong,mencuri
5074,nyopet,mencopet
5075,nyupir,menyopir
5076,nyupire,menyopir
5077,nyupiri,menyopir
5078,nyuri,mencuri
5079,og,kok
5080,oia,oh iya
5081,ole-ole,oleh-oleh
5082,ole2,oleh-oleh
5083,oleh2,oleh-oleh
5084,omaigat,Ya Tuhan
5085,omaigot,Ya Tuhan
5086,omdo,omong doang
5087,omg,Ya Tuhan
5088,ono,ada
5089,opo,apa
5090,opr,operator
5091,oprtr,operator
5092,optional,pilihan
5093,options,pilihan
5094,ora,tidak
5095,org,orang
5096,org2,orang-orang
5097,orgalay,orang alay
5098,orgil,orang gila
5099,orgnya,orangnya
5100,orgtua,orangtua
5101,ori,original
5102,orng,orang
5103,orng2,orang-orang
5104,orngny,orangnya
5105,other,lainnya
5106,others,lainnya
5107,otmatis,otomatis
5108,otw,lagi di jalan
5109,"p\baikan""",perbaikan
5110,pa2,apa-apa
5111,pabrkan,pabrikan
5112,pacal,pacar
5113,pacalku,pacarku
5114,pager,pagar
5115,pailit,pelit
5116,pakaianya,pakaiannya
5117,pake,pakai
5118,pakein,pakaikan
5119,pakek,pakai
5120,panasnye,panasnya
5121,pancen,memang
5122,pangil,panggil
5123,pangilan,panggilan
5124,pantes,pantas
5125,parent,orangtua
5126,parents,orangtua
5127,party,pesta
5128,pcar,pacar
5129,pcaran,pacaran
5130,pcarku,pacarku
5131,pcr,[acar
5132,pcran,pacaran
5133,pcrmu,pacarmu
5134,pcrn,pacaran
5135,pcrnya,pacarnya
5136,pcrx,pacarnya
5137,pda,pada
5138,pdahal,padahal
5139,pdhal,padahal
5140,pdhalkan,padahalkan
5141,pdhl,padahal
5142,peace,damai
5143,pedes,pedas
5144,pegel,pegal
5145,pegi,pergi
5146,pekerjan,pekerjaan
5147,pelangan,pelanggan
5148,pelastik,plastik
5149,pelayananya,pelayanannya
5150,pelis,*memohon
5151,pelkunya,pelakunya
5152,pemainya,pemainnya
5153,pemakaianya,pemakaiannya
5154,pembayaranya,pembayarannya
5155,pembelan,pembelaan
5156,pembelanjan,pembelanjaan
5157,pembicaran,pembicaraan
5158,pembicraan,pembicaraan
5159,pembicran,pembicaraan
5160,pemkot,pemerintah kota
5161,pemotor,pemakai motor
5162,pemprov,pemerintah provinsi
5163,pencetane,pencetannya
5164,pencinta,pecinta
5165,pencitran,pencitraan
5166,penderitan,penderitaan
5167,pendiem,pendiam
5168,pengantian,penggantian
5169,pengen,ingin
5170,pengerjan,pengerjaan
5171,pengerjanya,pengerjaannya
5172,penghargan,penghargaan
5173,pengila,penggila
5174,penginapa,penginapan
5175,penginepan,penginapan
5176,pengmuman,pengumuman
5177,penguna,pengguna
5178,pengunan,penggunaan
5179,perasan,perasaan
5180,perasanku,perasaanku
5181,perasanmu,perasaanmu
5182,perduli,peduli
5183,perjlanan,perjalanan
5184,perkiran,perkiraan
5185,perkoro,perkara
5186,perktaan,perkataan
5187,perktan,perkataan
5188,permaenan,permainan
5189,permasalahanya,permasalahannya
5190,pertanyanya,pertanyaannya
5191,pertanyanye,pertanyaannya
5192,pesen,pesan
5193,pesenan,pesanan
5194,pesenanku,pesananku
5195,pg,pagi
5196,pgang,pegang
5197,pgar,pagar
5198,pgen,ingin
5199,pggl,panggil
5200,pgguna,pengguna
5201,pgi,pagi
5202,pgi2,pagi-pagi
5203,pgl,panggil
5204,pgn,ingin
5205,pgnnya,inginnya
5206,pguna,pengguna
5207,phk,pihak
5208,photo,foto
5209,picnic,piknik
5210,picnya,gambarnya
5211,pics,gambar
5212,picture,gambar
5213,pijet,pijat
5214,pijete,pijatnya
5215,pilgub,pemilihan gubernur
5216,pingin,ingin
5217,pinjem,pinjam
5218,pinjeman,pinjaman
5219,pinjemin,pinjamkan
5220,pinten,berapa
5221,pinter,pintar
5222,piro,berapa
5223,pis,damai
5224,pisan,sekali
5225,piscok,pisang cokelat
5226,piye,bagaimana
5227,pk,pakai
5228,pkai,pakai
5229,pke,pakai
5230,pkek,pakai
5231,pkeknyo,pakainya
5232,pkerjaan,pekerjaan
5233,pkerjan,pekerjaan
5234,pket,paket
5235,pkok,pokok
5236,pkoke,pokoknya
5237,pkoknya,pokoknya
5238,pkt,paket
5239,place,tempat
5240,please,*memohon
5241,plen,teman
5242,plend,teman
5243,plg,pulang
5244,plh,pilih
5245,plih,pilih
5246,plihan,pilihan
5247,plihanmu,pilihanmu
5248,plihannya,pilihannya
5249,plihanya,pilihannya
5250,plis,*memohon
5251,pljar,pelajar
5252,plng,pulang
5253,plnggan,pelanggan
5254,pls,pulsa
5255,plsa,pulsa
5256,pmain,pemain
5257,pmbelian,pembelian
5258,pmbngn,pembangunan
5259,pmbngnn,pembangunan
5260,pmbyran,pembayaran
5261,pmenang,pemenang
